                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.71974,                0.52438,                 0.9776,                0.80826,                0.76297,                0.84022,                0.71311,                0.60637,                0.41881,                0.92729,             0.00040505,             0.00040505,             0.00040505
                     58,                0.71893,                 0.5213,                0.97792,                0.81601,                0.73617,                0.83381,                0.70779,                0.60385,                0.41981,                0.92446,             0.00039605,             0.00039605,             0.00039605
                     59,                0.71665,                0.52029,                0.97614,                0.78255,                0.77186,                0.83545,                0.70664,                0.60136,                0.41938,                0.92441,             0.00038705,             0.00038705,             0.00038705
                     60,                0.71975,                0.51686,                0.97881,                0.81143,                0.77378,                0.83621,                0.70935,                0.59953,                0.41456,                0.92262,             0.00037805,             0.00037805,             0.00037805
                     61,                 0.7105,                0.51075,                0.97419,                0.80814,                0.77389,                0.83244,                0.70443,                0.60296,                0.41459,                 0.9309,             0.00036905,             0.00036905,             0.00036905
                     62,                0.71522,                0.51309,                0.97803,                0.79389,                0.77074,                0.82749,                0.70092,                0.60271,                0.41893,                0.93091,             0.00036005,             0.00036005,             0.00036005
                     63,                0.71484,                0.51031,                0.97572,                0.82881,                 0.7481,                0.83314,                0.70731,                0.59229,                0.40923,                0.92196,             0.00035106,             0.00035106,             0.00035106
                     64,                0.71273,                 0.5079,                0.97352,                0.80455,                 0.7517,                0.82617,                0.69969,                0.59351,                0.41543,                0.91974,             0.00034206,             0.00034206,             0.00034206
                     65,                0.71096,                0.50806,                 0.9729,                0.80926,                0.75304,                0.83131,                0.70629,                0.59437,                0.41122,                0.92273,             0.00033306,             0.00033306,             0.00033306
                     66,                0.71107,                0.50566,                0.97457,                0.80523,                0.75951,                0.82965,                0.70409,                0.59512,                0.41462,                0.92164,             0.00032406,             0.00032406,             0.00032406
                     67,                0.70955,                0.50308,                0.97222,                0.78889,                0.76473,                0.82734,                0.70317,                0.59898,                0.41218,                0.92192,             0.00031506,             0.00031506,             0.00031506
                     68,                0.70829,                0.50055,                0.97311,                0.80047,                0.76925,                0.83473,                0.71228,                0.59138,                0.40796,                0.92178,             0.00030606,             0.00030606,             0.00030606
